[2016-12-24 13:39:16.932986]SIM[  7] Auth. time use:323845.000000(us)
[2016-12-24 13:39:29.952209]SIM[  7] Auth. time use:335065.000000(us)
[2016-12-24 13:39:42.962178]SIM[  7] Auth. time use:338039.000000(us)
[2016-12-24 13:39:55.942432]SIM[  7] Auth. time use:311293.000000(us)
[2016-12-24 13:40:08.952454]SIM[  7] Auth. time use:312315.000000(us)
[2016-12-24 13:40:21.974702]SIM[  7] Auth. time use:327553.000000(us)
[2016-12-24 13:40:34.971545]SIM[  7] Auth. time use:317400.000000(us)
[2016-12-24 13:40:47.971271]SIM[  7] Auth. time use:311132.000000(us)
[2016-12-24 13:41:00.980633]SIM[  7] Auth. time use:314491.000000(us)
[2016-12-24 13:41:14. 13056]SIM[  7] Auth. time use:340918.000000(us)
[2016-12-24 13:41:26.999036]SIM[  7] Auth. time use:318888.000000(us)
[2016-12-24 13:41:40. 19510]SIM[  7] Auth. time use:334343.000000(us)
[2016-12-24 13:41:53. 12975]SIM[  7] Auth. time use:319833.000000(us)
[2016-12-24 13:42:06. 20248]SIM[  7] Auth. time use:319106.000000(us)
[2016-12-24 13:42:19. 31418]SIM[  7] Auth. time use:323277.000000(us)
[2016-12-24 13:42:32. 51352]SIM[  7] Auth. time use:335211.000000(us)
[2016-12-24 13:42:45. 42221]SIM[  7] Auth. time use:318078.000000(us)
[2016-12-24 13:42:58. 52309]SIM[  7] Auth. time use:323165.000000(us)
[2016-12-24 13:43:11. 91262]SIM[  7] Auth. time use:355119.000000(us)
[2016-12-24 13:43:24. 66385]SIM[  7] Auth. time use:321239.000000(us)
[2016-12-24 13:43:37. 74406]SIM[  7] Auth. time use:322245.000000(us)
[2016-12-24 13:43:50. 73569]SIM[  7] Auth. time use:315423.000000(us)
[2016-12-24 13:44:03. 97810]SIM[  7] Auth. time use:333664.000000(us)
[2016-12-24 13:44:16. 97021]SIM[  7] Auth. time use:325878.000000(us)
[2016-12-24 13:44:29.115242]SIM[  7] Auth. time use:336085.000000(us)
[2016-12-24 13:44:42.121445]SIM[  7] Auth. time use:336299.000000(us)
[2016-12-24 13:44:55.151083]SIM[  7] Auth. time use:357939.000000(us)
[2016-12-24 13:45:08.133602]SIM[  7] Auth. time use:333303.000000(us)
[2016-12-24 13:45:21.126976]SIM[  7] Auth. time use:317831.000000(us)
[2016-12-24 13:45:34.142050]SIM[  7] Auth. time use:325906.000000(us)
[2016-12-24 13:45:47.161603]SIM[  7] Auth. time use:336460.000000(us)
[2016-12-24 13:46:00.154204]SIM[  7] Auth. time use:321048.000000(us)
[2016-12-24 13:46:13.154869]SIM[  7] Auth. time use:313729.000000(us)
[2016-12-24 13:46:26.163442]SIM[  7] Auth. time use:315302.000000(us)
[2016-12-24 13:46:39.176759]SIM[  7] Auth. time use:320622.000000(us)
[2016-12-24 13:46:52.183739]SIM[  7] Auth. time use:321595.000000(us)
[2016-12-24 13:47:05.186943]SIM[  7] Auth. time use:317799.000000(us)
[2016-12-24 13:47:18.191489]SIM[  7] Auth. time use:316345.000000(us)
