[2016-12-24 13:56:24.508648]SIM[  9] Auth. time use:319503.000000(us)
[2016-12-24 13:56:37.513485]SIM[  9] Auth. time use:316343.000000(us)
[2016-12-24 13:56:50.518874]SIM[  9] Auth. time use:314730.000000(us)
[2016-12-24 13:57:03.526287]SIM[  9] Auth. time use:317141.000000(us)
[2016-12-24 13:57:16.544962]SIM[  9] Auth. time use:327819.000000(us)
[2016-12-24 13:57:29.553059]SIM[  9] Auth. time use:327916.000000(us)
[2016-12-24 13:57:42.538257]SIM[  9] Auth. time use:306112.000000(us)
[2016-12-24 13:57:55.561059]SIM[  9] Auth. time use:321914.000000(us)
[2016-12-24 13:58:08.576049]SIM[  9] Auth. time use:329908.000000(us)
[2016-12-24 13:58:21.572804]SIM[  9] Auth. time use:319660.000000(us)
[2016-12-24 13:58:34.587805]SIM[  9] Auth. time use:326662.000000(us)
[2016-12-24 13:58:47.603487]SIM[  9] Auth. time use:333342.000000(us)
[2016-12-24 13:59:00.605385]SIM[  9] Auth. time use:328241.000000(us)
[2016-12-24 13:59:13.615894]SIM[  9] Auth. time use:331748.000000(us)
[2016-12-24 13:59:26.630074]SIM[  9] Auth. time use:339928.000000(us)
[2016-12-24 13:59:39.625758]SIM[  9] Auth. time use:326604.000000(us)
[2016-12-24 13:59:52.622386]SIM[  9] Auth. time use:318216.000000(us)
[2016-12-24 14:00:05.637011]SIM[  9] Auth. time use:324860.000000(us)
[2016-12-24 14:00:18.639573]SIM[  9] Auth. time use:318421.000000(us)
[2016-12-24 14:00:31.660061]SIM[  9] Auth. time use:331901.000000(us)
[2016-12-24 14:00:44.653951]SIM[  9] Auth. time use:316808.000000(us)
[2016-12-24 14:00:57.671347]SIM[  9] Auth. time use:323204.000000(us)
[2016-12-24 14:01:10.688571]SIM[  9] Auth. time use:333414.000000(us)
[2016-12-24 14:01:23.697477]SIM[  9] Auth. time use:334332.000000(us)
[2016-12-24 14:01:36.680360]SIM[  9] Auth. time use:311214.000000(us)
[2016-12-24 14:01:49.698691]SIM[  9] Auth. time use:321548.000000(us)
[2016-12-24 14:02:02.707602]SIM[  9] Auth. time use:324457.000000(us)
[2016-12-24 14:02:15.705520]SIM[  9] Auth. time use:316375.000000(us)
[2016-12-24 14:02:28.716265]SIM[  9] Auth. time use:319122.000000(us)
