[2016-12-24 13:39:16.888765]SIM[  2] Auth. time use:279557.000000(us)
[2016-12-24 13:39:29.893169]SIM[  2] Auth. time use:276008.000000(us)
[2016-12-24 13:39:42.902851]SIM[  2] Auth. time use:278695.000000(us)
[2016-12-24 13:39:55.898425]SIM[  2] Auth. time use:267270.000000(us)
[2016-12-24 13:40:08.907940]SIM[  2] Auth. time use:267783.000000(us)
[2016-12-24 13:40:21.929631]SIM[  2] Auth. time use:282468.000000(us)
[2016-12-24 13:40:34.926273]SIM[  2] Auth. time use:272116.000000(us)
[2016-12-24 13:40:47.925966]SIM[  2] Auth. time use:265812.000000(us)
[2016-12-24 13:41:00.935464]SIM[  2] Auth. time use:269306.000000(us)
[2016-12-24 13:41:13.937879]SIM[  2] Auth. time use:265725.000000(us)
[2016-12-24 13:41:31.774862]SIM[2] auth. ACK2 length error. Tx_APDU[1]:00 
[2016-12-24 13:41:39.947656]SIM[  2] Auth. time use:262500.000000(us)
[2016-12-24 13:41:52.968318]SIM[  2] Auth. time use:275159.000000(us)
[2016-12-24 13:42:05.975712]SIM[  2] Auth. time use:274555.000000(us)
[2016-12-24 13:42:18.986949]SIM[  2] Auth. time use:278794.000000(us)
[2016-12-24 13:42:31.977846]SIM[  2] Auth. time use:261688.000000(us)
[2016-12-24 13:42:44.996976]SIM[  2] Auth. time use:272814.000000(us)
[2016-12-24 13:42:58. 37224]SIM[  2] Auth. time use:308083.000000(us)
[2016-12-24 13:43:11. 16781]SIM[  2] Auth. time use:280621.000000(us)
[2016-12-24 13:43:24. 36364]SIM[  2] Auth. time use:291202.000000(us)
[2016-12-24 13:43:37. 29962]SIM[  2] Auth. time use:277783.000000(us)
[2016-12-24 13:43:50. 29195]SIM[  2] Auth. time use:271032.000000(us)
[2016-12-24 13:44:03. 38796]SIM[  2] Auth. time use:274629.000000(us)
[2016-12-24 13:44:20.327490]SIM[  2] Auth. time use:4556330.000000(us)
[2016-12-24 13:44:29. 36688]SIM[  2] Auth. time use:257515.000000(us)
[2016-12-24 13:44:42. 67661]SIM[  2] Auth. time use:282496.000000(us)
[2016-12-24 13:44:55. 69753]SIM[  2] Auth. time use:276591.000000(us)
[2016-12-24 13:45:08. 94018]SIM[  2] Auth. time use:293701.000000(us)
[2016-12-24 13:45:21. 97417]SIM[  2] Auth. time use:288253.000000(us)
[2016-12-24 13:45:34. 96498]SIM[  2] Auth. time use:280335.000000(us)
[2016-12-24 13:45:47.111922]SIM[  2] Auth. time use:286762.000000(us)
[2016-12-24 13:46:00.104831]SIM[  2] Auth. time use:271658.000000(us)
[2016-12-24 13:46:13.109679]SIM[  2] Auth. time use:268524.000000(us)
[2016-12-24 13:46:26.148346]SIM[  2] Auth. time use:300192.000000(us)
[2016-12-24 13:46:39.132375]SIM[  2] Auth. time use:276223.000000(us)
[2016-12-24 13:46:52.139422]SIM[  2] Auth. time use:277264.000000(us)
[2016-12-24 13:47:05.142581]SIM[  2] Auth. time use:273422.000000(us)
[2016-12-24 13:47:18.147206]SIM[  2] Auth. time use:272049.000000(us)
[2016-12-24 13:47:31.147292]SIM[  2] Auth. time use:265135.000000(us)
[2016-12-24 13:47:44.156886]SIM[  2] Auth. time use:266728.000000(us)
[2016-12-24 13:47:57.172041]SIM[  2] Auth. time use:275886.000000(us)
[2016-12-24 13:48:10.167323]SIM[  2] Auth. time use:264165.000000(us)
[2016-12-24 13:48:23.187306]SIM[  2] Auth. time use:277148.000000(us)
