[2016-12-24 13:39:16.932567]SIM[  1] Auth. time use:323429.000000(us)
[2016-12-24 13:39:29.951761]SIM[  1] Auth. time use:334622.000000(us)
[2016-12-24 13:39:42.961727]SIM[  1] Auth. time use:337594.000000(us)
[2016-12-24 13:39:55.942013]SIM[  1] Auth. time use:310875.000000(us)
[2016-12-24 13:40:08.952019]SIM[  1] Auth. time use:311885.000000(us)
[2016-12-24 13:40:21.974263]SIM[  1] Auth. time use:327119.000000(us)
[2016-12-24 13:40:34.986054]SIM[  1] Auth. time use:331916.000000(us)
[2016-12-24 13:40:47.985350]SIM[  1] Auth. time use:325215.000000(us)
[2016-12-24 13:41:00.995057]SIM[  1] Auth. time use:328921.000000(us)
[2016-12-24 13:41:14. 12640]SIM[  1] Auth. time use:340506.000000(us)
[2016-12-24 13:41:27. 26145]SIM[  1] Auth. time use:346004.000000(us)
[2016-12-24 13:41:40. 19008]SIM[  1] Auth. time use:333873.000000(us)
[2016-12-24 13:41:53. 12523]SIM[  1] Auth. time use:319386.000000(us)
[2016-12-24 13:42:06. 34432]SIM[  1] Auth. time use:333294.000000(us)
[2016-12-24 13:42:19. 45714]SIM[  1] Auth. time use:337579.000000(us)
[2016-12-24 13:42:32. 50958]SIM[  1] Auth. time use:334823.000000(us)
[2016-12-24 13:42:45. 41766]SIM[  1] Auth. time use:317627.000000(us)
[2016-12-24 13:42:58. 66791]SIM[  1] Auth. time use:337651.000000(us)
[2016-12-24 13:43:11. 90808]SIM[  1] Auth. time use:354673.000000(us)
[2016-12-24 13:43:24. 80665]SIM[  1] Auth. time use:335524.000000(us)
[2016-12-24 13:43:37. 74002]SIM[  1] Auth. time use:321844.000000(us)
[2016-12-24 13:43:50. 73120]SIM[  1] Auth. time use:314975.000000(us)
[2016-12-24 13:44:03. 97346]SIM[  1] Auth. time use:333205.000000(us)
[2016-12-24 13:44:16. 96613]SIM[  1] Auth. time use:325475.000000(us)
[2016-12-24 13:44:29.114824]SIM[  1] Auth. time use:335673.000000(us)
[2016-12-24 13:44:42.120998]SIM[  1] Auth. time use:335856.000000(us)
[2016-12-24 13:44:55.150694]SIM[  1] Auth. time use:357555.000000(us)
[2016-12-24 13:45:08.133187]SIM[  1] Auth. time use:332878.000000(us)
[2016-12-24 13:45:21.141464]SIM[  1] Auth. time use:332325.000000(us)
[2016-12-24 13:45:34.166421]SIM[  1] Auth. time use:350264.000000(us)
[2016-12-24 13:45:47.175491]SIM[  1] Auth. time use:350353.000000(us)
[2016-12-24 13:46:00.153790]SIM[  1] Auth. time use:320619.000000(us)
[2016-12-24 13:46:13.154415]SIM[  1] Auth. time use:313280.000000(us)
[2016-12-24 13:46:26.192505]SIM[  1] Auth. time use:344370.000000(us)
[2016-12-24 13:46:39.176309]SIM[  1] Auth. time use:320176.000000(us)
[2016-12-24 13:46:52.183277]SIM[  1] Auth. time use:321141.000000(us)
[2016-12-24 13:47:05.186468]SIM[  1] Auth. time use:317329.000000(us)
[2016-12-24 13:47:18.205815]SIM[  1] Auth. time use:330677.000000(us)
[2016-12-24 13:47:31.205776]SIM[  1] Auth. time use:323641.000000(us)
[2016-12-24 13:47:44.216490]SIM[  1] Auth. time use:326351.000000(us)
[2016-12-24 13:47:57.215787]SIM[  1] Auth. time use:319648.000000(us)
[2016-12-24 13:48:10.226181]SIM[  1] Auth. time use:323044.000000(us)
[2016-12-24 13:48:23.246282]SIM[  1] Auth. time use:336145.000000(us)
[2016-12-24 13:48:36.251891]SIM[  1] Auth. time use:333753.000000(us)
[2016-12-24 13:48:49.247643]SIM[  1] Auth. time use:322505.000000(us)
[2016-12-24 13:49:02.276483]SIM[  1] Auth. time use:344344.000000(us)
[2016-12-24 13:49:15.264112]SIM[  1] Auth. time use:321970.000000(us)
[2016-12-24 13:49:28.273912]SIM[  1] Auth. time use:323773.000000(us)
[2016-12-24 13:49:45.551970]SIM[  1] Auth. time use:4593819.000000(us)
[2016-12-24 13:49:54.310207]SIM[  1] Auth. time use:345059.000000(us)
[2016-12-24 13:50:07.295168]SIM[  1] Auth. time use:321030.000000(us)
[2016-12-24 13:50:20.340460]SIM[  1] Auth. time use:357324.000000(us)
[2016-12-24 13:50:33.327389]SIM[  1] Auth. time use:338248.000000(us)
[2016-12-24 13:50:46.331681]SIM[  1] Auth. time use:334544.000000(us)
[2016-12-24 13:50:59.336218]SIM[  1] Auth. time use:330084.000000(us)
[2016-12-24 13:51:12.350377]SIM[  1] Auth. time use:337236.000000(us)
[2016-12-24 13:51:25.348202]SIM[  1] Auth. time use:327066.000000(us)
[2016-12-24 13:51:38.354733]SIM[  1] Auth. time use:324594.000000(us)
[2016-12-24 13:51:51.373658]SIM[  1] Auth. time use:335521.000000(us)
[2016-12-24 13:52:04.393817]SIM[  1] Auth. time use:348682.000000(us)
[2016-12-24 13:52:17.374208]SIM[  1] Auth. time use:318068.000000(us)
[2016-12-24 13:52:30.393859]SIM[  1] Auth. time use:330719.000000(us)
[2016-12-24 13:52:43.398661]SIM[  1] Auth. time use:327527.000000(us)
[2016-12-24 13:52:56.424445]SIM[  1] Auth. time use:345305.000000(us)
[2016-12-24 13:53:09.449345]SIM[  1] Auth. time use:363195.000000(us)
[2016-12-24 13:53:22.416967]SIM[  1] Auth. time use:324825.000000(us)
[2016-12-24 13:53:35.445429]SIM[  1] Auth. time use:345289.000000(us)
[2016-12-24 13:53:48.447198]SIM[  1] Auth. time use:340050.000000(us)
[2016-12-24 13:54:01.423882]SIM[  1] Auth. time use:308722.000000(us)
[2016-12-24 13:54:14.445394]SIM[  1] Auth. time use:322259.000000(us)
[2016-12-24 13:54:27.465006]SIM[  1] Auth. time use:333868.000000(us)
[2016-12-24 13:54:40.463458]SIM[  1] Auth. time use:325325.000000(us)
[2016-12-24 13:54:53.466852]SIM[  1] Auth. time use:321716.000000(us)
[2016-12-24 13:55:06.492604]SIM[  1] Auth. time use:340469.000000(us)
[2016-12-24 13:55:19.491767]SIM[  1] Auth. time use:333631.000000(us)
[2016-12-24 13:55:32.495128]SIM[  1] Auth. time use:331988.000000(us)
[2016-12-24 13:55:45.496076]SIM[  1] Auth. time use:325939.000000(us)
[2016-12-24 13:55:58.503984]SIM[  1] Auth. time use:327844.000000(us)
[2016-12-24 13:56:11.524082]SIM[  1] Auth. time use:340949.000000(us)
[2016-12-24 13:56:24.508097]SIM[  1] Auth. time use:318957.000000(us)
[2016-12-24 13:56:37.527941]SIM[  1] Auth. time use:330805.000000(us)
[2016-12-24 13:56:50.533327]SIM[  1] Auth. time use:329189.000000(us)
[2016-12-24 13:57:03.525739]SIM[  1] Auth. time use:316597.000000(us)
[2016-12-24 13:57:16.559740]SIM[  1] Auth. time use:342604.000000(us)
[2016-12-24 13:57:29.566755]SIM[  1] Auth. time use:341618.000000(us)
[2016-12-24 13:57:42.580033]SIM[  1] Auth. time use:347893.000000(us)
[2016-12-24 13:57:55.575568]SIM[  1] Auth. time use:336430.000000(us)
[2016-12-24 13:58:08.575593]SIM[  1] Auth. time use:329461.000000(us)
[2016-12-24 13:58:21.586475]SIM[  1] Auth. time use:333338.000000(us)
[2016-12-24 13:58:34.587253]SIM[  1] Auth. time use:326115.000000(us)
[2016-12-24 13:58:47.603001]SIM[  1] Auth. time use:332863.000000(us)
[2016-12-24 13:59:00.604859]SIM[  1] Auth. time use:327721.000000(us)
[2016-12-24 13:59:13.615330]SIM[  1] Auth. time use:331188.000000(us)
[2016-12-24 13:59:26.644268]SIM[  1] Auth. time use:354129.000000(us)
[2016-12-24 13:59:39.625216]SIM[  1] Auth. time use:326070.000000(us)
[2016-12-24 13:59:52.636576]SIM[  1] Auth. time use:332435.000000(us)
[2016-12-24 14:00:05.636504]SIM[  1] Auth. time use:324360.000000(us)
[2016-12-24 14:00:18.639123]SIM[  1] Auth. time use:317950.000000(us)
[2016-12-24 14:00:31.673976]SIM[  1] Auth. time use:345823.000000(us)
[2016-12-24 14:00:44.668260]SIM[  1] Auth. time use:331123.000000(us)
[2016-12-24 14:00:57.670878]SIM[  1] Auth. time use:322741.000000(us)
[2016-12-24 14:01:10.703112]SIM[  1] Auth. time use:347953.000000(us)
[2016-12-24 14:01:23.711761]SIM[  1] Auth. time use:348622.000000(us)
[2016-12-24 14:01:36.694511]SIM[  1] Auth. time use:325371.000000(us)
[2016-12-24 14:01:49.713545]SIM[  1] Auth. time use:336405.000000(us)
[2016-12-24 14:02:02.721511]SIM[  1] Auth. time use:338376.000000(us)
[2016-12-24 14:02:15.720094]SIM[  1] Auth. time use:330953.000000(us)
[2016-12-24 14:02:28.745547]SIM[  1] Auth. time use:348411.000000(us)
[2016-12-24 14:02:41.746426]SIM[  1] Auth. time use:343289.000000(us)
[2016-12-24 14:02:54.749028]SIM[  1] Auth. time use:339884.000000(us)
[2016-12-24 14:03:07.742924]SIM[  1] Auth. time use:324790.000000(us)
[2016-12-24 14:03:20.758689]SIM[  1] Auth. time use:333554.000000(us)
[2016-12-24 14:03:33.768129]SIM[  1] Auth. time use:336990.000000(us)
[2016-12-24 14:03:46.765413]SIM[  1] Auth. time use:326277.000000(us)
[2016-12-24 14:03:59.764582]SIM[  1] Auth. time use:318447.000000(us)
[2016-12-24 14:04:12.796186]SIM[  1] Auth. time use:342049.000000(us)
[2016-12-24 14:04:25.777392]SIM[  1] Auth. time use:315254.000000(us)
[2016-12-24 14:04:38.775174]SIM[  1] Auth. time use:307037.000000(us)
