[2016-12-24 13:39:16.933036]SIM[  8] Auth. time use:323895.000000(us)
[2016-12-24 13:39:29.952253]SIM[  8] Auth. time use:335109.000000(us)
[2016-12-24 13:39:42.962222]SIM[  8] Auth. time use:338081.000000(us)
[2016-12-24 13:39:55.942474]SIM[  8] Auth. time use:311334.000000(us)
[2016-12-24 13:40:08.952498]SIM[  8] Auth. time use:312358.000000(us)
[2016-12-24 13:40:21.974743]SIM[  8] Auth. time use:327594.000000(us)
[2016-12-24 13:40:34.971587]SIM[  8] Auth. time use:317442.000000(us)
[2016-12-24 13:40:47.971313]SIM[  8] Auth. time use:311174.000000(us)
[2016-12-24 13:41:00.980676]SIM[  8] Auth. time use:314534.000000(us)
[2016-12-24 13:41:14. 13098]SIM[  8] Auth. time use:340958.000000(us)
[2016-12-24 13:41:26.999081]SIM[  8] Auth. time use:318932.000000(us)
[2016-12-24 13:41:40. 19556]SIM[  8] Auth. time use:334414.000000(us)
[2016-12-24 13:41:53. 13020]SIM[  8] Auth. time use:319876.000000(us)
[2016-12-24 13:42:06. 20290]SIM[  8] Auth. time use:319148.000000(us)
[2016-12-24 13:42:19. 31460]SIM[  8] Auth. time use:323320.000000(us)
[2016-12-24 13:42:32. 51393]SIM[  8] Auth. time use:335252.000000(us)
[2016-12-24 13:42:45. 42265]SIM[  8] Auth. time use:318120.000000(us)
[2016-12-24 13:42:58. 52350]SIM[  8] Auth. time use:323207.000000(us)
[2016-12-24 13:43:11. 91305]SIM[  8] Auth. time use:355161.000000(us)
[2016-12-24 13:43:24. 66427]SIM[  8] Auth. time use:321281.000000(us)
[2016-12-24 13:43:37. 74449]SIM[  8] Auth. time use:322285.000000(us)
[2016-12-24 13:43:54.344537]SIM[  8] Auth. time use:4586370.000000(us)
[2016-12-24 13:44:03. 97852]SIM[  8] Auth. time use:333704.000000(us)
[2016-12-24 13:44:16. 97064]SIM[  8] Auth. time use:325920.000000(us)
[2016-12-24 13:44:29.115285]SIM[  8] Auth. time use:336127.000000(us)
[2016-12-24 13:44:42.121490]SIM[  8] Auth. time use:336342.000000(us)
[2016-12-24 13:44:55.151132]SIM[  8] Auth. time use:357987.000000(us)
[2016-12-24 13:45:08.133645]SIM[  8] Auth. time use:333345.000000(us)
[2016-12-24 13:45:21.127019]SIM[  8] Auth. time use:317875.000000(us)
[2016-12-24 13:45:34.142092]SIM[  8] Auth. time use:325948.000000(us)
[2016-12-24 13:45:47.161647]SIM[  8] Auth. time use:336503.000000(us)
[2016-12-24 13:46:00.154246]SIM[  8] Auth. time use:321090.000000(us)
[2016-12-24 13:46:13.154912]SIM[  8] Auth. time use:313770.000000(us)
[2016-12-24 13:46:26.163484]SIM[  8] Auth. time use:315343.000000(us)
[2016-12-24 13:46:39.176802]SIM[  8] Auth. time use:320664.000000(us)
[2016-12-24 13:46:52.183782]SIM[  8] Auth. time use:321639.000000(us)
[2016-12-24 13:47:05.186986]SIM[  8] Auth. time use:317841.000000(us)
[2016-12-24 13:47:18.191532]SIM[  8] Auth. time use:316388.000000(us)
[2016-12-24 13:47:31.206305]SIM[  8] Auth. time use:324162.000000(us)
[2016-12-24 13:47:44.201928]SIM[  8] Auth. time use:311784.000000(us)
[2016-12-24 13:47:57.216274]SIM[  8] Auth. time use:320132.000000(us)
[2016-12-24 13:48:10.226657]SIM[  8] Auth. time use:323513.000000(us)
[2016-12-24 13:48:23.232009]SIM[  8] Auth. time use:321866.000000(us)
[2016-12-24 13:48:36.237297]SIM[  8] Auth. time use:319152.000000(us)
[2016-12-24 13:48:49.234050]SIM[  8] Auth. time use:308906.000000(us)
[2016-12-24 13:49:02.247189]SIM[  8] Auth. time use:315043.000000(us)
[2016-12-24 13:49:15.278952]SIM[  8] Auth. time use:336809.000000(us)
[2016-12-24 13:49:28.274357]SIM[  8] Auth. time use:324212.000000(us)
[2016-12-24 13:49:41.296153]SIM[  8] Auth. time use:338012.000000(us)
[2016-12-24 13:49:54.295639]SIM[  8] Auth. time use:330484.000000(us)
[2016-12-24 13:50:07.310055]SIM[  8] Auth. time use:335910.000000(us)
[2016-12-24 13:50:20.297666]SIM[  8] Auth. time use:314523.000000(us)
[2016-12-24 13:50:33.327818]SIM[  8] Auth. time use:338673.000000(us)
[2016-12-24 13:50:46.332160]SIM[  8] Auth. time use:335019.000000(us)
[2016-12-24 13:50:59.336715]SIM[  8] Auth. time use:330574.000000(us)
[2016-12-24 13:51:12.350850]SIM[  8] Auth. time use:337706.000000(us)
[2016-12-24 13:51:25.363650]SIM[  8] Auth. time use:342510.000000(us)
[2016-12-24 13:51:38.370260]SIM[  8] Auth. time use:340115.000000(us)
[2016-12-24 13:51:51.344594]SIM[  8] Auth. time use:306452.000000(us)
[2016-12-24 13:52:04.350479]SIM[  8] Auth. time use:305338.000000(us)
[2016-12-24 13:52:17.374678]SIM[  8] Auth. time use:318532.000000(us)
[2016-12-24 13:52:30.394285]SIM[  8] Auth. time use:331137.000000(us)
[2016-12-24 13:52:43.384271]SIM[  8] Auth. time use:313131.000000(us)
[2016-12-24 13:52:56.424892]SIM[  8] Auth. time use:345745.000000(us)
[2016-12-24 13:53:09.449817]SIM[  8] Auth. time use:363672.000000(us)
[2016-12-24 13:53:22.402669]SIM[  8] Auth. time use:310522.000000(us)
[2016-12-24 13:53:35.431162]SIM[  8] Auth. time use:331017.000000(us)
[2016-12-24 13:53:48.462017]SIM[  8] Auth. time use:354860.000000(us)
[2016-12-24 13:54:01.424294]SIM[  8] Auth. time use:309148.000000(us)
[2016-12-24 13:54:14.445890]SIM[  8] Auth. time use:322750.000000(us)
[2016-12-24 13:54:27.465478]SIM[  8] Auth. time use:334335.000000(us)
[2016-12-24 13:54:40.449656]SIM[  8] Auth. time use:311518.000000(us)
[2016-12-24 13:54:53.482353]SIM[  8] Auth. time use:337212.000000(us)
[2016-12-24 13:55:06.479282]SIM[  8] Auth. time use:327142.000000(us)
[2016-12-24 13:55:19.477386]SIM[  8] Auth. time use:319244.000000(us)
[2016-12-24 13:55:32.495584]SIM[  8] Auth. time use:332440.000000(us)
[2016-12-24 13:55:45.481822]SIM[  8] Auth. time use:311677.000000(us)
[2016-12-24 13:55:58.504488]SIM[  8] Auth. time use:328344.000000(us)
[2016-12-24 13:56:11.524547]SIM[  8] Auth. time use:341407.000000(us)
[2016-12-24 13:56:24.508607]SIM[  8] Auth. time use:319462.000000(us)
[2016-12-24 13:56:37.528432]SIM[  8] Auth. time use:331291.000000(us)
[2016-12-24 13:56:50.518831]SIM[  8] Auth. time use:314688.000000(us)
[2016-12-24 13:57:03.526245]SIM[  8] Auth. time use:317098.000000(us)
[2016-12-24 13:57:16.544921]SIM[  8] Auth. time use:327777.000000(us)
[2016-12-24 13:57:29.553019]SIM[  8] Auth. time use:327876.000000(us)
[2016-12-24 13:57:42.538216]SIM[  8] Auth. time use:306071.000000(us)
[2016-12-24 13:57:55.576028]SIM[  8] Auth. time use:336884.000000(us)
[2016-12-24 13:58:08.590919]SIM[  8] Auth. time use:344779.000000(us)
[2016-12-24 13:58:21.586940]SIM[  8] Auth. time use:333797.000000(us)
[2016-12-24 13:58:34.587764]SIM[  8] Auth. time use:326621.000000(us)
[2016-12-24 13:58:47.603442]SIM[  8] Auth. time use:333298.000000(us)
[2016-12-24 13:59:00.605343]SIM[  8] Auth. time use:328199.000000(us)
[2016-12-24 13:59:13.615852]SIM[  8] Auth. time use:331706.000000(us)
[2016-12-24 13:59:26.644705]SIM[  8] Auth. time use:354561.000000(us)
[2016-12-24 13:59:39.625715]SIM[  8] Auth. time use:326563.000000(us)
[2016-12-24 13:59:52.637073]SIM[  8] Auth. time use:332927.000000(us)
[2016-12-24 14:00:05.636968]SIM[  8] Auth. time use:324818.000000(us)
