[2016-12-23 15:33:28. 15175]SIM[  5] Auth. time use:381745.000000(us)
[2016-12-23 15:33:33. 88978]SIM[  5] Auth. time use:452538.000000(us)
[2016-12-23 15:33:38. 36159]SIM[  5] Auth. time use:396728.000000(us)
[2016-12-23 15:33:43. 52791]SIM[  5] Auth. time use:410357.000000(us)
[2016-12-23 15:33:48. 42094]SIM[  5] Auth. time use:397658.000000(us)
[2016-12-23 15:33:53. 35452]SIM[  5] Auth. time use:389019.000000(us)
[2016-12-23 15:33:58. 68707]SIM[  5] Auth. time use:420277.000000(us)
[2016-12-23 15:34:03.100801]SIM[  5] Auth. time use:449366.000000(us)
[2016-12-23 15:34:08. 88925]SIM[  5] Auth. time use:434495.000000(us)
[2016-12-23 15:34:13. 40518]SIM[  5] Auth. time use:384087.000000(us)
[2016-12-23 15:34:18. 93869]SIM[  5] Auth. time use:433410.000000(us)
[2016-12-23 15:34:23. 89183]SIM[  5] Auth. time use:425753.000000(us)
[2016-12-23 15:34:28.122092]SIM[  5] Auth. time use:455661.000000(us)
[2016-12-23 15:34:33.111299]SIM[  5] Auth. time use:442870.000000(us)
[2016-12-23 15:34:38.114282]SIM[  5] Auth. time use:442853.000000(us)
[2016-12-23 15:34:43.112107]SIM[  5] Auth. time use:438675.000000(us)
[2016-12-23 15:34:48. 90261]SIM[  5] Auth. time use:413827.000000(us)
[2016-12-23 15:34:53.103052]SIM[  5] Auth. time use:424623.000000(us)
[2016-12-23 15:34:58. 98197]SIM[  5] Auth. time use:416764.000000(us)
[2016-12-23 15:35:03. 74360]SIM[  5] Auth. time use:390924.000000(us)
[2016-12-23 15:35:08. 92800]SIM[  5] Auth. time use:406534.000000(us)
[2016-12-23 15:35:13. 92417]SIM[  5] Auth. time use:403981.000000(us)
[2016-12-23 15:35:18.111295]SIM[  5] Auth. time use:419863.000000(us)
[2016-12-23 15:35:23.102279]SIM[  5] Auth. time use:407847.000000(us)
[2016-12-23 15:35:28.135390]SIM[  5] Auth. time use:437960.000000(us)
[2016-12-23 15:35:33.121473]SIM[  5] Auth. time use:421033.000000(us)
[2016-12-23 15:35:38.145208]SIM[  5] Auth. time use:441780.000000(us)
[2016-12-23 15:35:43. 86591]SIM[  5] Auth. time use:380159.000000(us)
[2016-12-23 15:35:48.138008]SIM[  5] Auth. time use:429562.000000(us)
[2016-12-23 15:35:53.156970]SIM[  5] Auth. time use:446524.000000(us)
[2016-12-23 15:35:58.148583]SIM[  5] Auth. time use:434308.000000(us)
[2016-12-23 15:36:03.136529]SIM[  5] Auth. time use:421089.000000(us)
[2016-12-23 15:36:08.124177]SIM[  5] Auth. time use:406745.000000(us)
[2016-12-23 15:36:13.114860]SIM[  5] Auth. time use:395422.000000(us)
[2016-12-23 15:36:18.170569]SIM[  5] Auth. time use:448137.000000(us)
[2016-12-23 15:36:23.192346]SIM[  5] Auth. time use:467914.000000(us)
[2016-12-23 15:36:28.172512]SIM[  5] Auth. time use:446077.000000(us)
[2016-12-23 15:36:33.117880]SIM[  5] Auth. time use:388434.000000(us)
[2016-12-23 15:36:38.150274]SIM[  5] Auth. time use:417838.000000(us)
[2016-12-23 15:36:43.181788]SIM[  5] Auth. time use:447353.000000(us)
