[2016-12-24 13:39:16.932674]SIM[  4] Auth. time use:323536.000000(us)
[2016-12-24 13:39:29.937006]SIM[  4] Auth. time use:319864.000000(us)
[2016-12-24 13:39:42.946969]SIM[  4] Auth. time use:322833.000000(us)
[2016-12-24 13:39:55.942108]SIM[  4] Auth. time use:310965.000000(us)
[2016-12-24 13:40:08.952112]SIM[  4] Auth. time use:311970.000000(us)
[2016-12-24 13:40:21.974348]SIM[  4] Auth. time use:327202.000000(us)
[2016-12-24 13:40:34.971117]SIM[  4] Auth. time use:316966.000000(us)
[2016-12-24 13:40:47.985396]SIM[  4] Auth. time use:325259.000000(us)
[2016-12-24 13:41:00.980188]SIM[  4] Auth. time use:314049.000000(us)
[2016-12-24 13:41:13.997861]SIM[  4] Auth. time use:325724.000000(us)
[2016-12-24 13:41:27. 26232]SIM[  4] Auth. time use:346086.000000(us)
[2016-12-24 13:41:40.  5017]SIM[  4] Auth. time use:319879.000000(us)
[2016-12-24 13:41:53. 12612]SIM[  4] Auth. time use:319472.000000(us)
[2016-12-24 13:42:06. 34476]SIM[  4] Auth. time use:333336.000000(us)
[2016-12-24 13:42:19. 45756]SIM[  4] Auth. time use:337618.000000(us)
[2016-12-24 13:42:32. 36179]SIM[  4] Auth. time use:320041.000000(us)
[2016-12-24 13:42:45. 41858]SIM[  4] Auth. time use:317715.000000(us)
[2016-12-24 13:42:58. 66837]SIM[  4] Auth. time use:337696.000000(us)
[2016-12-24 13:43:11. 75791]SIM[  4] Auth. time use:339630.000000(us)
[2016-12-24 13:43:24. 80709]SIM[  4] Auth. time use:335566.000000(us)
[2016-12-24 13:43:37. 74096]SIM[  4] Auth. time use:321937.000000(us)
[2016-12-24 13:43:50. 73208]SIM[  4] Auth. time use:315066.000000(us)
[2016-12-24 13:44:03. 82698]SIM[  4] Auth. time use:318553.000000(us)
[2016-12-24 13:44:16. 82365]SIM[  4] Auth. time use:311223.000000(us)
[2016-12-24 13:44:29.100142]SIM[  4] Auth. time use:320988.000000(us)
[2016-12-24 13:44:42.106341]SIM[  4] Auth. time use:321195.000000(us)
[2016-12-24 13:44:55.135687]SIM[  4] Auth. time use:342542.000000(us)
[2016-12-24 13:45:08.133305]SIM[  4] Auth. time use:333009.000000(us)
[2016-12-24 13:45:21.141509]SIM[  4] Auth. time use:332367.000000(us)
[2016-12-24 13:45:34.166505]SIM[  4] Auth. time use:350364.000000(us)
[2016-12-24 13:45:47.175535]SIM[  4] Auth. time use:350395.000000(us)
[2016-12-24 13:46:00.153915]SIM[  4] Auth. time use:320762.000000(us)
[2016-12-24 13:46:13.154500]SIM[  4] Auth. time use:313362.000000(us)
[2016-12-24 13:46:26.177753]SIM[  4] Auth. time use:329615.000000(us)
[2016-12-24 13:46:39.176351]SIM[  4] Auth. time use:320216.000000(us)
[2016-12-24 13:46:52.183366]SIM[  4] Auth. time use:321226.000000(us)
[2016-12-24 13:47:05.186555]SIM[  4] Auth. time use:317413.000000(us)
[2016-12-24 13:47:18.205860]SIM[  4] Auth. time use:330719.000000(us)
[2016-12-24 13:47:31.205864]SIM[  4] Auth. time use:323723.000000(us)
[2016-12-24 13:47:44.216535]SIM[  4] Auth. time use:326394.000000(us)
[2016-12-24 13:47:57.215877]SIM[  4] Auth. time use:319739.000000(us)
[2016-12-24 13:48:10.226267]SIM[  4] Auth. time use:323128.000000(us)
[2016-12-24 13:48:23.246326]SIM[  4] Auth. time use:336185.000000(us)
[2016-12-24 13:48:36.251977]SIM[  4] Auth. time use:333836.000000(us)
[2016-12-24 13:48:49.247728]SIM[  4] Auth. time use:322586.000000(us)
[2016-12-24 13:49:02.261589]SIM[  4] Auth. time use:329446.000000(us)
[2016-12-24 13:49:15.264155]SIM[  4] Auth. time use:322015.000000(us)
[2016-12-24 13:49:28.273996]SIM[  4] Auth. time use:323855.000000(us)
[2016-12-24 13:49:41.280630]SIM[  4] Auth. time use:322491.000000(us)
[2016-12-24 13:49:54.310291]SIM[  4] Auth. time use:345139.000000(us)
[2016-12-24 13:50:07.295210]SIM[  4] Auth. time use:321068.000000(us)
[2016-12-24 13:50:20.326198]SIM[  4] Auth. time use:343058.000000(us)
[2016-12-24 13:50:33.309551]SIM[  4] Auth. time use:320407.000000(us)
[2016-12-24 13:50:46.316848]SIM[  4] Auth. time use:319709.000000(us)
[2016-12-24 13:50:59.321198]SIM[  4] Auth. time use:315060.000000(us)
[2016-12-24 13:51:12.350425]SIM[  4] Auth. time use:337282.000000(us)
[2016-12-24 13:51:25.348243]SIM[  4] Auth. time use:327104.000000(us)
[2016-12-24 13:51:38.354780]SIM[  4] Auth. time use:324638.000000(us)
[2016-12-24 13:51:51.373700]SIM[  4] Auth. time use:335561.000000(us)
[2016-12-24 13:52:04.379179]SIM[  4] Auth. time use:334041.000000(us)
[2016-12-24 13:52:17.374292]SIM[  4] Auth. time use:318151.000000(us)
[2016-12-24 13:52:30.378792]SIM[  4] Auth. time use:315647.000000(us)
[2016-12-24 13:52:43.398707]SIM[  4] Auth. time use:327569.000000(us)
[2016-12-24 13:52:56.402444]SIM[  4] Auth. time use:323287.000000(us)
[2016-12-24 13:53:09.429861]SIM[  4] Auth. time use:343699.000000(us)
[2016-12-24 13:53:22.417053]SIM[  4] Auth. time use:324908.000000(us)
[2016-12-24 13:53:35.445474]SIM[  4] Auth. time use:345330.000000(us)
[2016-12-24 13:53:48.447244]SIM[  4] Auth. time use:340092.000000(us)
[2016-12-24 13:54:01.424007]SIM[  4] Auth. time use:308865.000000(us)
[2016-12-24 13:54:14.445482]SIM[  4] Auth. time use:322345.000000(us)
[2016-12-24 13:54:27.450053]SIM[  4] Auth. time use:318912.000000(us)
[2016-12-24 13:54:40.463501]SIM[  4] Auth. time use:325365.000000(us)
[2016-12-24 13:54:53.466896]SIM[  4] Auth. time use:321758.000000(us)
[2016-12-24 13:55:06.492646]SIM[  4] Auth. time use:340508.000000(us)
[2016-12-24 13:55:19.491853]SIM[  4] Auth. time use:333714.000000(us)
[2016-12-24 13:55:32.480196]SIM[  4] Auth. time use:317052.000000(us)
[2016-12-24 13:55:45.496173]SIM[  4] Auth. time use:326033.000000(us)
[2016-12-24 13:55:58.489144]SIM[  4] Auth. time use:313002.000000(us)
[2016-12-24 13:56:11.509132]SIM[  4] Auth. time use:325995.000000(us)
[2016-12-24 13:56:24.508190]SIM[  4] Auth. time use:319048.000000(us)
[2016-12-24 13:56:37.513097]SIM[  4] Auth. time use:315955.000000(us)
[2016-12-24 13:56:50.533415]SIM[  4] Auth. time use:329275.000000(us)
[2016-12-24 13:57:03.525827]SIM[  4] Auth. time use:316685.000000(us)
[2016-12-24 13:57:16.559825]SIM[  4] Auth. time use:342686.000000(us)
[2016-12-24 13:57:29.566798]SIM[  4] Auth. time use:341658.000000(us)
[2016-12-24 13:57:42.565911]SIM[  4] Auth. time use:333768.000000(us)
[2016-12-24 13:57:55.560616]SIM[  4] Auth. time use:321474.000000(us)
