[2016-12-24 13:39:16.932937]SIM[  6] Auth. time use:323797.000000(us)
[2016-12-24 13:39:29.952168]SIM[  6] Auth. time use:335024.000000(us)
[2016-12-24 13:39:42.962135]SIM[  6] Auth. time use:337998.000000(us)
[2016-12-24 13:39:55.942391]SIM[  6] Auth. time use:311252.000000(us)
[2016-12-24 13:40:13.226689]SIM[  6] Auth. time use:4586533.000000(us)
[2016-12-24 13:40:21.974660]SIM[  6] Auth. time use:327512.000000(us)
[2016-12-24 13:40:34.971502]SIM[  6] Auth. time use:317358.000000(us)
[2016-12-24 13:40:47.971228]SIM[  6] Auth. time use:311090.000000(us)
[2016-12-24 13:41:00.980590]SIM[  6] Auth. time use:314450.000000(us)
[2016-12-24 13:41:13.998254]SIM[  6] Auth. time use:326115.000000(us)
[2016-12-24 13:41:26.998994]SIM[  6] Auth. time use:318847.000000(us)
[2016-12-24 13:41:40. 19441]SIM[  6] Auth. time use:334302.000000(us)
[2016-12-24 13:41:53. 12933]SIM[  6] Auth. time use:319792.000000(us)
[2016-12-24 13:42:06. 20204]SIM[  6] Auth. time use:319062.000000(us)
[2016-12-24 13:42:19. 31374]SIM[  6] Auth. time use:323235.000000(us)
[2016-12-24 13:42:32. 36586]SIM[  6] Auth. time use:320446.000000(us)
[2016-12-24 13:42:45. 42180]SIM[  6] Auth. time use:318036.000000(us)
[2016-12-24 13:42:58. 52266]SIM[  6] Auth. time use:323123.000000(us)
[2016-12-24 13:43:11. 91217]SIM[  6] Auth. time use:355076.000000(us)
[2016-12-24 13:43:24. 66342]SIM[  6] Auth. time use:321196.000000(us)
[2016-12-24 13:43:37. 74364]SIM[  6] Auth. time use:322203.000000(us)
[2016-12-24 13:43:50. 73527]SIM[  6] Auth. time use:315383.000000(us)
[2016-12-24 13:44:03. 97768]SIM[  6] Auth. time use:333622.000000(us)
[2016-12-24 13:44:16. 96981]SIM[  6] Auth. time use:325838.000000(us)
[2016-12-24 13:44:29.100544]SIM[  6] Auth. time use:321389.000000(us)
[2016-12-24 13:44:42.121403]SIM[  6] Auth. time use:336257.000000(us)
[2016-12-24 13:44:55.136067]SIM[  6] Auth. time use:342925.000000(us)
[2016-12-24 13:45:08.133560]SIM[  6] Auth. time use:333262.000000(us)
[2016-12-24 13:45:21.126933]SIM[  6] Auth. time use:317789.000000(us)
[2016-12-24 13:45:34.141995]SIM[  6] Auth. time use:325849.000000(us)
[2016-12-24 13:45:47.161556]SIM[  6] Auth. time use:336411.000000(us)
[2016-12-24 13:46:00.154159]SIM[  6] Auth. time use:321003.000000(us)
[2016-12-24 13:46:13.154828]SIM[  6] Auth. time use:313687.000000(us)
[2016-12-24 13:46:26.163396]SIM[  6] Auth. time use:315254.000000(us)
[2016-12-24 13:46:39.176718]SIM[  6] Auth. time use:320582.000000(us)
[2016-12-24 13:46:52.183695]SIM[  6] Auth. time use:321554.000000(us)
[2016-12-24 13:47:05.186900]SIM[  6] Auth. time use:317757.000000(us)
[2016-12-24 13:47:18.191442]SIM[  6] Auth. time use:316299.000000(us)
[2016-12-24 13:47:31.206219]SIM[  6] Auth. time use:324079.000000(us)
[2016-12-24 13:47:44.201841]SIM[  6] Auth. time use:311697.000000(us)
[2016-12-24 13:47:57.216189]SIM[  6] Auth. time use:320050.000000(us)
[2016-12-24 13:48:10.226570]SIM[  6] Auth. time use:323428.000000(us)
[2016-12-24 13:48:23.231921]SIM[  6] Auth. time use:321777.000000(us)
[2016-12-24 13:48:36.237208]SIM[  6] Auth. time use:319064.000000(us)
[2016-12-24 13:48:49.233963]SIM[  6] Auth. time use:308820.000000(us)
[2016-12-24 13:49:02.247093]SIM[  6] Auth. time use:314948.000000(us)
[2016-12-24 13:49:15.264501]SIM[  6] Auth. time use:322359.000000(us)
[2016-12-24 13:49:28.274273]SIM[  6] Auth. time use:324130.000000(us)
[2016-12-24 13:49:41.281133]SIM[  6] Auth. time use:322993.000000(us)
[2016-12-24 13:49:54.280598]SIM[  6] Auth. time use:315445.000000(us)
[2016-12-24 13:50:07.295556]SIM[  6] Auth. time use:321412.000000(us)
[2016-12-24 13:50:20.297579]SIM[  6] Auth. time use:314437.000000(us)
[2016-12-24 13:50:33.309944]SIM[  6] Auth. time use:320801.000000(us)
[2016-12-24 13:50:46.332070]SIM[  6] Auth. time use:334930.000000(us)
[2016-12-24 13:50:59.336632]SIM[  6] Auth. time use:330492.000000(us)
[2016-12-24 13:51:12.350769]SIM[  6] Auth. time use:337626.000000(us)
[2016-12-24 13:51:25.348591]SIM[  6] Auth. time use:327452.000000(us)
[2016-12-24 13:51:38.355162]SIM[  6] Auth. time use:325021.000000(us)
[2016-12-24 13:51:51.344499]SIM[  6] Auth. time use:306354.000000(us)
[2016-12-24 13:52:04.350385]SIM[  6] Auth. time use:305242.000000(us)
[2016-12-24 13:52:17.374595]SIM[  6] Auth. time use:318451.000000(us)
[2016-12-24 13:52:30.379230]SIM[  6] Auth. time use:316085.000000(us)
[2016-12-24 13:52:43.384168]SIM[  6] Auth. time use:313024.000000(us)
[2016-12-24 13:52:56.402855]SIM[  6] Auth. time use:323709.000000(us)
[2016-12-24 13:53:09.449731]SIM[  6] Auth. time use:363590.000000(us)
[2016-12-24 13:53:22.402585]SIM[  6] Auth. time use:310438.000000(us)
[2016-12-24 13:53:35.431065]SIM[  6] Auth. time use:330921.000000(us)
[2016-12-24 13:53:48.447581]SIM[  6] Auth. time use:340425.000000(us)
[2016-12-24 13:54:01.424208]SIM[  6] Auth. time use:309063.000000(us)
